Id;Food;Category;Carbohydrates;Sugars;Dietary fiber;Fats;Saturated fat;Protein;Calcium;Cholesterol;Copper;Iodine;Iron;Magnesium;Niacin;Phosphorus;Potassium;Riboflavin (B2);Selenium;Sodium;Thiamin (B1);Vitamin A;Vitamin B12;Vitamin C;Vitamin D;Vitamin E;Zinc;Artificially sweetened;Cholesterol-free;Egg-free;Fat-free;Fructose-sweetened;Gluten-free;High-fibre;Lacto-ovo-vegetarian;Lactose-free;Lacto-vegetarian;Milk-free;No added salt;No additives;No colouring agents;No preservatives;Soy-free;Sugar-free;Unsweetened;Vegan
11725;BERRY AND FRUIT CULTURED MILK 2 % FAT;Milk;12.969;12.945;0.053;2.204;1.4626;2.8;113.84;7.83;0.0124;15.44;0.07;10.959;0.776;88.4;155.15;0.148;2.479;44.62;0.028;15.673;0.18;1.02;0.018;0.062;0.401;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
11726;CURD MILK, FLAVOURED, 1% FAT, LOW-LACTOSE;Milk;13.105;13.105;0.078;0.9;0.6461;3.3;110;3.8;0.0104;16.21;0.061;10.937;0.901;86;162.55;0.176;2.628;39.83;0.0352;8.1;0.1;1.19;0.019;0.037;0.394;0;0;1;0;0;1;0;1;0;1;0;1;0;0;0;1;0;0;0
11727;YOGHURT, FLAVOURED, 2.5% FAT;Milk;13.48;13.465;0.113;2.5;1.5423;3;130;8.18;0.0115;14.18;0.077;10.97;0.818;85.7;160;0.176;2.67;40.37;0.0333;19.25;0.1;1.84;0.033;0.1;0.411;0;0;1;0;0;1;0;1;0;1;0;1;0;0;0;1;0;0;0
11734;SHIITAKE MUSHROOM;Vegetables;2.5;2.5;3.3;0.31;0.03;1.8;0.4;0;0.044;3;0.28;13;2.6;73;224;0.15;0.33;1.1;0.05;0;0.07;2.1;0.1;0;0.77;0;1;1;0;0;1;0;1;1;1;1;0;0;0;0;1;0;1;1
11735;OYSTER MUSHROOM;Vegetables;2.6;2.6;2.4;0.35;0.062;1.97;0.1;0;0.067;3;0.43;16;5.2;110;298;0.2;1.2;0;0.07;0;0.05;1.6;0.02;0;0.66;0;1;1;0;0;1;0;1;1;1;1;0;0;0;0;1;0;1;1
11736;YOGHURT, PLAIN, 1.5% FAT;Milk;4.8;4.8;0;1.5;1.0492;4.5;150;6.4;0.009;15;0.05;11;1.302;90;150;0.185;2.75;41;0.035;17.02;0.2;1.1;0.02;0.03;0.41;0;0;1;0;0;1;0;1;0;1;0;1;0;0;0;1;0;1;0
11739;VEGETABLE FAT SPREAD 35%, BECEL PRO-ACTIV;Fat;1.201;0.226;0;35;9.081;0.1;7.33;0;0.0032;0.54;0.083;1.23;0.031;3.6;5.65;0.006;0.136;240;0.0011;800.011;0.01;0.03;20;10;0.018;0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;1;0;1;0
28905;FLOUR, WHOLE WHEAT FLOUR;Cereals;63.798;1.198;12.6;2.47;0.447;13;34;0;0.553;10;3.52;144;9.41;508;431;0.121;7;5;0.419;0;0;0;0;1.57;4.16;0;0;1;0;0;0;0;1;1;1;1;1;0;0;0;1;0;1;1
28909;RYE MACARONI;Cereals;67;3.3;6;2.5;0.4;13;25.85;0;0.4221;9.5;2.616;94.6;6.237;336.4;325.05;0.117;5.601;11;0.3065;0.37;0;0;0;1.052;2.828;0;0;1;0;0;0;1;1;1;1;1;1;0;0;0;1;0;1;1
28910;RICE, BROWN;Cereals;72;0.4;4;2.3;0.5;7;10;0;0.318;2.75;0.7;101;5.911;254.5;246.5;0.048;13.55;6;0.2075;0;0;0;0;0.36;1.78;0;0;1;0;0;1;0;1;1;1;1;1;0;0;0;1;0;1;1
28913;POTATO, UNPEELED, AVARAGE, RAW;Potatoes;15.5;0.6;1;0.114;0.0253;1.88;5.6;0.3;0.091;1;0.67;24;0.917;45;500;0.03;0.637;1;0.21;0.64;0;10;0;0.05;0.31;0;0;1;0;0;1;0;1;0;1;1;1;0;0;0;1;0;1;1
28915;MUSKMELON/CANTALOUPE MELON, WITH SKIN;Fruits;2.05;2.05;0.45;0.095;0.025;0.31;10;0;0;2;0.15;5.5;0.317;6.5;105;0.01;0.2;4;0.02;1.845;0;13;0;0.025;0;0;1;1;1;0;1;0;1;1;1;1;0;0;0;0;0;0;0;1
28916;APPLE, AVERAGE, WITH SKIN;Fruits;7.713;7.626;1.566;0.087;0.0146;0.17;3.92;0;0.0365;1;0.078;3.697;0.152;7.8;99.18;0.013;0.044;0.8;0.0139;2.222;0;5.22;0;0.209;0.017;0;1;1;0;0;1;0;1;1;1;1;1;0;0;0;1;0;1;1
28917;PEAR, WITH SKIN;Fruits;7.04;7.04;3.432;0.077;0.0163;0.27;9.68;0;0.0528;0.88;0.176;6.16;0.308;11.4;132;0.026;0.88;1.2;0.0088;1.443;0;5.28;0;0.053;0.088;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28918;PLUM, WITH STONE;Fruits;7.728;7.544;1.564;0.276;0.0156;0.69;14.72;0;0.0736;0.92;0.276;9.2;0.432;18.4;202.4;0.11;0.101;2.76;0.0184;33.138;0;4.6;0;0.782;0.092;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28919;PRUNE, WITH STONE;Fruits;31.208;31.208;7.138;0.706;0.026;3.48;55.61;0;0.3154;2.49;1.66;43.16;1.908;74.7;738.7;0.154;0.415;1.66;0.0423;14.16;0;0;0;1.461;0.415;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28920;CHERRY WITH STONE;Fruits;10.374;10.374;1.365;0.182;0.0337;0.8;16.38;0;0.0637;0.18;0.273;7.735;0.288;14.6;158.8;0.064;0.091;1.82;0.0455;5.214;0;9.1;0;0.064;0.091;0;1;1;0;0;1;0;1;1;1;1;1;0;0;0;1;0;1;1
28921;APRICOT, AVERAGE, WITH STONE;Fruits;9.964;9.964;1.786;0.094;0.0247;1;29.14;0;0.047;0.94;0.404;8.272;0.611;10.3;150.4;0.047;0.94;1.88;0.0376;62.886;0;9.4;0;0.902;0.31;0;1;1;0;0;1;0;1;1;1;1;1;0;0;0;1;0;1;1
28922;PEACH/NECTARINE, AVERAGE, WITH STONE;Fruits;6.786;6.786;1.827;0.187;0.0165;1;6.96;0;0.1131;0.87;0.435;9.57;0.595;17.4;174;0.052;0.348;0.87;0.0174;8.065;0;5.74;0;0.835;0.087;0;1;1;0;0;1;0;1;1;1;1;1;0;0;0;1;0;1;1
28923;PINEAPPLE, WITH SKIN;Fruits;5.936;5.936;0.742;0.212;0.0042;0.27;6.36;0;0.0477;0.74;0.106;7.42;0.312;4.2;92.22;0.011;0.318;2.12;0.0424;2.639;0;16.22;0;0.011;0.043;0;1;1;0;0;1;0;1;1;1;1;1;0;0;0;1;0;1;1
